event_id,fusion_risk_score
EVT-373857567,0.7542476402253421
EVT-380924157,0.4291841497336793
EVT-674957844,0.6405256747823831
EVT-910824095,0.7408050883116342
EVT-959358092,0.8020509168190554
EVT-528146247,0.6973964248581103
EVT-725490344,0.284867220374631
EVT-687602576,0.28904755853952907
EVT-834271458,0.3207141636567154
EVT-764511560,0.643746109236488
EVT-126766892,0.2598995634170268
EVT-830823589,0.8025859747327901
EVT-428256874,0.889296058870696
EVT-697479423,0.6852355491777713
EVT-650553168,0.23181255392213979
EVT-116789099,0.31975916312873726
EVT-825376108,0.3016183261236578
EVT-802970643,0.33997506457398197
EVT-566423800,0.7905279232846913
EVT-844076169,0.28616367484740846
EVT-989409741,0.3067592744217832
EVT-228353289,0.6628106603341253
EVT-423763394,0.6660717325241532
EVT-430425311,0.7781292990927204
EVT-521111276,0.22766376777858574
EVT-765822123,0.3758449969164761
EVT-871261063,0.4020271068223151
EVT-937957100,0.6602596702799225
EVT-220202106,0.30678117051448955
EVT-967897465,0.29203894405529995
EVT-818742915,0.3016634748953883
EVT-313859423,0.6821769561136009
EVT-162099987,0.3111915299023333
EVT-470880049,0.8106418850964884
EVT-748041213,0.2818372240572844
EVT-543052833,0.3228508127876942
EVT-667696344,0.27174686630550327
EVT-660236530,0.30187660362600477
EVT-684161515,0.21494610792825392
EVT-358580830,0.355794424739287
EVT-457466577,0.37973326767399673
EVT-333219964,0.836593797531626
EVT-862656109,0.25343830109593546
EVT-824146642,0.18047018445034974
EVT-808051627,0.6104012150585656
EVT-732725643,0.737940181166612
EVT-531650957,0.2933470776725414
EVT-848974715,0.3319219452358608
EVT-489230152,0.3493662748849517
EVT-972782210,0.20440032594335217
EVT-806016719,0.2778304581032623
EVT-978045627,0.31897217222301194
EVT-672905287,0.34721636551710056
EVT-887383850,0.3387508900198353
EVT-715024991,0.25936056625916964
EVT-387864519,0.27321077764738927
EVT-435487967,0.3066413491942054
EVT-838586134,0.3375291604685913
EVT-901264129,0.3000634920767568
EVT-562896186,0.3114860924627074
EVT-343847115,0.2852020495280262
EVT-201718871,0.37790118235080356
EVT-197573348,0.22008315756217284
EVT-381129381,0.29433240235235303
EVT-875285424,0.32459502575314003
EVT-466167191,0.2782623063789297
EVT-475793284,0.3788083159141251
EVT-644094720,0.34538989995596314
EVT-742410614,0.38757154846289615
EVT-299075769,0.24927653907635275
EVT-167420364,0.37430861299338825
EVT-145404909,0.2899793422987285
EVT-419083753,0.7919673209552391
EVT-126010081,0.33392976506444216
EVT-773506191,0.3372274860296457
EVT-755132241,0.3661242971714265
EVT-759412259,0.7074014324835188
EVT-447545249,0.299838735290748
EVT-671438277,0.2439963127464626
EVT-544810821,0.2312361216408355
EVT-237586672,0.17291843304930476
EVT-213466770,0.29799455918277024
EVT-176863702,0.8206610175478121
EVT-129253505,0.7846932853614494
EVT-100937457,0.3417593009906176
EVT-508364849,0.18011291101711197
EVT-159402928,0.28379608698782466
EVT-694315044,0.24304620751118097
EVT-956833917,0.7796907955943919
EVT-273943430,0.3048514148148785
EVT-436299183,0.2851146133152643
EVT-686204623,0.24415069018914323
EVT-897351972,0.7790226936929804
EVT-981436642,0.3445004587382757
EVT-172450830,0.36012242587565485
EVT-854404467,0.35149296096845656
EVT-204417594,0.223779593946466
EVT-546772890,0.43235622476874014
EVT-176093013,0.2704568318180821
EVT-827120898,0.8169156155872507
EVT-770076315,0.6812242159623509
EVT-659089966,0.289653431151722
EVT-304613963,0.8105220685760802
EVT-722221875,0.9019681209392143
EVT-454958327,0.40954723352700656
EVT-535155642,0.28551598125609856
EVT-637464905,0.28409072654802914
EVT-504979217,0.7885931354249884
EVT-372158218,0.2654143238613391
EVT-112848848,0.7354310352818858
EVT-245112235,0.3778639053918329
EVT-566901533,0.21103778913737123
EVT-500141559,0.38872252733600476
EVT-319253303,0.38631413665406145
EVT-521127268,0.2954476721012903
EVT-919903956,0.7285271293073486
EVT-298346919,0.2933189104158079
EVT-416453068,0.31052585969064234
EVT-433018662,0.4087063948846591
EVT-675725833,0.34081987739303676
EVT-249273601,0.3290623302419753
EVT-824936113,0.3236573759634615
EVT-563555074,0.26342883029649855
